T(K),Cp_Thiswork
4058.0,33.08826390629887
4059.0,33.08900617329254
4060.0,33.08974791563665
4061.0,33.09048913632677
4062.0,33.09122983229362
4063.0,33.091970006526275
4064.0,33.09270965899269
4065.0,33.0934487866246
4066.0,33.09418738938613
4067.0,33.09492547329578
4068.0,33.09566302924087
4069.0,33.096400066262746
4070.0,33.09713657524534
4071.0,33.097872565237395
4072.0,33.09860803014633
4073.0,33.09934297297109
4074.0,33.10007739064823
4075.0,33.10081128313971
4076.0,33.101544656469045
4077.0,33.102277501523844
4078.0,33.103009827348295
4079.0,33.10374162786213
4080.0,33.10447290302788
4081.0,33.10520365583894
4082.0,33.105933886265625
4083.0,33.10666359125227
4084.0,33.10739277378835
4085.0,33.10812143082027
4086.0,33.108849565343725
4087.0,33.109577177325576
4088.0,33.11030426371418
4089.0,33.11103082749942
4090.0,33.11175686563026
4091.0,33.1124823811015
4092.0,33.11320737085869
4093.0,33.11393183789726
4094.0,33.1146557791658
4095.0,33.1153791976601
4096.0,33.11610209334586
4097.0,33.11682446317974
4098.0,33.11754631015642
4099.0,33.11826763121857
4100.0,33.118988429367285
4101.0,33.119708704574705
4102.0,33.12042845378995
4103.0,33.12114768001395
4104.0,33.121866380196856
4105.0,33.122584557331685
4106.0,33.12330220837197
4107.0,33.124019336318504
4108.0,33.12473594113947
4109.0,33.12545201979026
4110.0,33.12616757527286
4111.0,33.126882604537656
4112.0,33.127597110582215
4113.0,33.12831109036695
4114.0,33.12902454687928
4115.0,33.129737480100104
4116.0,33.13044988699304
4117.0,33.13116177054536
4118.0,33.13187312771788
4119.0,33.13258396151413
4120.0,33.13329427190328
4121.0,33.13400405585026
4122.0,33.13471331634949
4123.0,33.13542205036516
4124.0,33.13613026088905
4125.0,33.13683794488765
4126.0,33.1375451053585
4127.0,33.13825174227299
4128.0,33.13895785260357
4129.0,33.1396634393454
4130.0,33.140368502476285
4131.0,33.14107303896246
4132.0,33.141777048788036
4133.0,33.142480534942784
4134.0,33.1431834974139
4135.0,33.143885933169486
4136.0,33.144587845202565
4137.0,33.14528923349887
4138.0,33.14599009502316
4139.0,33.146690432774605
4140.0,33.1473902437216
4141.0,33.14808953086487
4142.0,33.148788291168806
4143.0,33.14948652763168
4144.0,33.15018424024273
4145.0,33.15088142596973
