FaceID,X,Y,Z,Heat Flux
8764,0.145166666666667,0.10188333384196,0.0763377354939779,-1673794.38386579
8765,0.144833333333333,0.101598668416341,0.0661370671590169,-1741587.27214598
8766,0.145166666666667,0.10188333384196,0.0696710688273112,-1667973.21441967
8767,0.144833333333333,0.101598668416341,0.0595037320454915,-1736098.26078661
8768,0.145166666666667,0.10188333384196,0.063004399617513,-1663475.47910172
8769,0.144833333333333,0.101598668416341,0.0528704007466634,-1707848.68594898
8770,0.145166666666667,0.10188333384196,0.0563370666503906,-1686557.70955219
8771,0.144833333333333,0.101598668416341,0.046237735748291,-1648826.11438082
8772,0.145166666666667,0.10188333384196,0.0496704037984212,-1688948.56509976
8773,0.144833333333333,0.101598668416341,0.0396043993631999,-1504759.60586648
8774,0.145166666666667,0.10188333384196,0.0430037320454915,-1447348.00251028
8775,0.144833333333333,0.101598668416341,0.0329710680643717,-237611.867601157
8776,0.145166666666667,0.10188333384196,0.0363377316792806,-1113943.37346066
8777,0.145833333333333,0.102467333475749,0.24520866394043,-1722675.53457463
8778,0.145833333333333,0.102467333475749,0.238475326538086,-1722877.32958288
8779,0.146166666666667,0.102766667683919,0.242941329956055,-1706558.62508552
8780,0.145833333333333,0.102467333475749,0.231741994222005,-1722525.71163969
8781,0.146166666666667,0.102766667683919,0.236175328572591,-1706593.29998426
8782,0.145833333333333,0.102467333475749,0.225007461547852,-1722158.15065218
8783,0.146166666666667,0.102766667683919,0.22940732828776,-1706077.86139956
8784,0.145833333333333,0.102467333475749,0.218275731404622,-1722189.01450479
8785,0.146166666666667,0.102766667683919,0.222641596476237,-1705599.07061864
8786,0.145833333333333,0.102467333475749,0.211541732788086,-1722305.99473589
8787,0.146166666666667,0.102766667683919,0.215875066121419,-1756636.98392971
8788,0.145833333333333,0.102467333475749,0.204808395385742,-1722229.59679664
8789,0.146166666666667,0.102766667683919,0.2091083984375,-1755676.54931267
8790,0.145833333333333,0.102467333475749,0.198074391682943,-1722255.59103301
