Time_s,Altitude_m,Mach,DynamicPressure_Pa,Velocity_ms,AirDensity_kgm3,AirTemperature_K
16.9523866801268,10723.9609424447,7.7365786616816,990252.271917997,2292.26184678527,0.376918445493731,218.444253874109
17.4860867353479,10821.6248610825,7.73525833801959,974887.580543092,2288.53805222405,0.372278758996434,217.809438402963
18.019786790569,10921.0855520837,7.73430271283256,959537.640925785,2284.85683876419,0.36759874830904,217.162943911456
18.5534868457901,11022.2659165148,7.73113554774267,943590.340647946,2281.22226719813,0.362642147504663,216.65
19.0871869010113,11125.0831663917,7.71899528537734,925501.660880459,2277.64004610443,0.356810000391547,216.65
19.6208869562324,11229.4493565917,7.70704339331153,907577.92321709,2274.11340734001,0.350985909239654,216.65
20.221134284255,11348.5664788043,7.69382913361258,887637.948040377,2270.2142823947,0.344454730386938,216.65
20.8213816122777,11469.4008361016,7.68085378623045,867949.889435866,2266.38565318622,0.337953558077076,216.65
21.4216289403004,11591.8274972262,7.66811494614775,848532.945154688,2262.62681006732,0.331491843555966,216.65
22.021876268323,11715.7238911653,7.65560998291248,829404.241466596,2258.93697687184,0.325078328945886,216.65
23.1072805098085,11943.1070984876,7.63358232833952,795593.996475443,2252.43728794573,0.313628901164898,216.65
24.1926847512939,12174.2131685475,7.6122918335421,762849.160811175,2246.15511238282,0.302405148299006,216.65
25.2780889927793,12408.3772244841,7.59171902859341,731226.209848388,2240.08470520164,0.291442486689626,216.65
26.3634932342647,12644.9625148398,7.57184331794583,700765.324078979,2234.21998928434,0.280770020075849,216.65
27.5325825472689,12901.7985476764,7.55119028094601,669285.208376944,2228.1259080723,0.26962599794683,216.65
28.7016718602732,13160.0093364365,7.53129362096522,639199.523861557,2222.25501064581,0.258868168016342,216.65
29.8707611732774,13418.9035603986,7.51212581159914,610510.404747233,2216.59917480265,0.24851278199194,216.65
31.0398504862816,13677.8266811736,7.49365931909035,583207.843797583,2211.15027617088,0.238570550686461,216.65
32.3666008286551,13970.9202884408,7.47351734950513,553877.286774618,2205.20699536313,0.227795336494185,216.65
33.6933511710287,14262.4003788651,7.45420406063109,526265.029119416,2199.50823295491,0.21756214073253,216.65
35.0201015134022,14551.4663055423,7.43568142350313,500319.384948933,2194.04276775868,0.207867765661755,216.65
36.3468518557758,14837.3705509139,7.41791267718357,475980.938402338,2188.79975274309,0.198704404849406,216.65
37.8961344152397,15166.2980057865,7.39807049027193,449507.596058608,2182.94492865765,0.188660713183109,216.65
39.4454169747037,15488.9331793783,7.37915433851129,425028.630807321,2177.36334929721,0.179302508283189,216.65
40.9946995341677,15804.3243117865,7.36111365787988,402432.488048797,2172.04009476136,0.17060327099025,216.65
42.5439820936316,16111.5980572049,7.343900903998,381607.144164193,2166.96113615396,0.162534008927039,216.65
44.4805641621498,16483.0585631191,7.3234817156394,357897.989959618,2160.93605654255,0.153287034674196,216.65
46.417146230668,16839.1681783739,7.30420600385757,336575.529061038,2155.24838198798,0.14491651363475,216.65
48.3537282991862,17178.6489003241,7.28599985439444,317443.239270874,2149.87630264741,0.137362799247763,216.65
50.2903103677044,17500.3613543805,7.26879561779827,300317.586421729,2144.79985723121,0.130568139718275,216.65
52.732125262132,17879.1219900948,7.24843578973826,281323.285407383,2138.79229303317,0.122998114884837,216.65
